"X","X.1","Total","X.2","X.3","Male","X.4","X.5","Female","X.6","X.7","X.8","X.9","X.10"
"Area","Rank","Life Expectancy (years)","Standard Error","Rank","Life Expectancy (years)","Standard Error","Rank","Life Expectancy (years)","Standard Error",NA,NA,NA,NA
"Hawaii","1","79.9","0.0118","1","77","0.172","1","83.1","0.155",NA,NA,NA,NA
"Massachusetts","2","79.6","0.05","2","76.9","0.074","2","82.2","0.065",NA,NA,NA,NA
"Connecticut","3","79.2","0.074","4","76.3","0.11","3","82","0.097",NA,NA,NA,NA
"New York","4","79","0.031","7","76.3","0.045","4","81.6","0.04",NA,NA,NA,NA
"New Jersey","5","79","0.045","5","76.3","0.065","5","81.6","0.058",NA,NA,NA,NA
"Minnesota","6","78.8","0.059","3","76.3","0.086","6","81.4","0.078",NA,NA,NA,NA
"New Hampshire","7","78.5","0.117","8","76.1","0.172","9","81.1","0.155",NA,NA,NA,NA
"Rhode Island","8","78.5","0.13","9","75.9","0.191","10","81","0.171",NA,NA,NA,NA
"Vermont","9","78.4","0.176","11","75.7","0.255","8","81.2","0.237",NA,NA,NA,NA
"Calfornia","10","78.3","0.023","13","75.3","0.033","7","81.4","0.03",NA,NA,NA,NA
"Washington","11","78.2","0.05","10","75.8","0.073","11","80.8","0.067",NA,NA,NA,NA
"Utah","12","78.2","0.078","6","76.3","0.113","18","80.2","0.105",NA,NA,NA,NA
"Nebraska","13","77.8","0.101","12","75.4","0.143","16","80.3","0.138",NA,NA,NA,NA
"Wisconsin","14","77.8","0.059","14","75.2","0.085","14","80.5","0.079",NA,NA,NA,NA
"Colorado","15","77.7","0.06","16","75","0.087","12","80.6","0.08",NA,NA,NA,NA
"Iowa","16","77.7","0.077","15","75.2","0.111","15","80.4","0.103",NA,NA,NA,NA
"North Dakota","17","77.6","0.164","17","75","0.232","13","80.5","0.224",NA,NA,NA,NA
"Oregon","18","77.4","0.067","18","74.8","0.098","17","80.2","0.089",NA,NA,NA,NA
"Maryland","19","77.2","0.059","20","74.3","0.087","20","79.9","0.077",NA,NA,NA,NA
"Idaho","20","77.2","0.104","19","74.8","0.151","22","79.7","0.137",NA,NA,NA,NA
"","","","","","","","","","",NA,NA,NA,NA
"Illinois","21","77.1","0.041","21","74.2","0.06","19","80","0.054",NA,NA,NA,NA
"Virginia","22","76.8","0.049","22","74.2","0.071","24","79.4","0.065",NA,NA,NA,NA
"Maine","23","76.7","0.126","24","73.8","0.184","21","79.8","0.166",NA,NA,NA,NA
"South Dakota","24","76.6","0.164","23","74.1","0.23","25","79.3","0.23",NA,NA,NA,NA
"Pennsylvania","25","76.4","0.041","25","73.6","0.058","26","79.3","0.054",NA,NA,NA,NA
"United States","","76.4","","","73.5","","","79.3","",NA,NA,NA,NA
"Delaware","26","76.3","0.15","27","73.3","0.218","23","79.4","0.199",NA,NA,NA,NA
"Florida","27","76.1","0.033","28","73.1","0.048","27","79.3","0.044",NA,NA,NA,NA
"Kansas","28","76","0.086","26","73.4","0.122","29","78.7","0.116",NA,NA,NA,NA
"Montana","29","75.8","0.145","29","73.1","0.21","28","78.8","0.195",NA,NA,NA,NA
"Michigan","30","75.7","0.046","30","72.9","0.067","30","78.6","0.062",NA,NA,NA,NA
"","","","","","","","","","",NA,NA,NA,NA
"Texas","31","75.4","0.027","31","72.7","0.038","33","78.3","0.036",NA,NA,NA,NA
"District of Colombia","32","75.3","0.19","37","71.9","0.275","31","78.5","0.258",NA,NA,NA,NA
"Nevada","33","75.1","0.083","33","72.4","0.119","34","78.2","0.112",NA,NA,NA,NA
"Arizona","34","75","0.057","36","72","0.082","32","78.3","0.076",NA,NA,NA,NA
"Wyoming","35","75","0.199","32","72.5","0.281","37","77.7","0.275",NA,NA,NA,NA
"North Carolina","36","74.9","0.046","35","72","0.068","35","77.9","0.061",NA,NA,NA,NA
"Missouri","37","74.6","0.06","40","71.6","0.088","36","77.8","0.08",NA,NA,NA,NA
"Indiana","38","74.6","0.057","38","71.8","0.083","39","77.5","0.077",NA,NA,NA,NA
"Alaska","39","74.5","0.18","34","72.2","0.25","40","77.3","0.256",NA,NA,NA,NA
"Ohio","40","74.5","0.044","39","71.7","0.063","38","77.5","0.058",NA,NA,NA,NA
"","","","","","","","","","",NA,NA,NA,NA
"Georgia","41","74.3","0.045","41","71.6","0.065","41","77.1","0.06",NA,NA,NA,NA
"South Carolina","42","73.5","0.069","42","70.4","0.1","43","76.7","0.092",NA,NA,NA,NA
"New Mexico","43","73","0.113","46","69.4","0.161","42","77","0.152",NA,NA,NA,NA
"Oklahoma","44","72.7","0.074","43","70","0.105","45","75.6","0.103",NA,NA,NA,NA
"Arkansas","45","72.5","0.089","44","69.7","0.127","46","75.6","0.121",NA,NA,NA,NA
"Tennessee","46","72.4","0.057","47","69.4","0.083","47","75.5","0.077",NA,NA,NA,NA
"Kentucky","47","72.3","0.071","45","69.6","0.101","49","75.3","0.096",NA,NA,NA,NA
"Louisiana","48","72.2","0.073","49","68.8","0.105","44","75.9","0.098",NA,NA,NA,NA
"Alabama","49","72","0.069","48","68.9","0.1","48","75.3","0.091",NA,NA,NA,NA
"West Virginia","50","71","0.117","50","68.1","0.167","51","74.2","0.159",NA,NA,NA,NA
"Mississippi","51","70.9","0.092","51","67.7","0.133","50","74.3","0.125",NA,NA,NA,NA
